addressID,address
832,"calle de Mauricio Legendre, 38"
833,calle del General Lacy
834,"calle de Juan Sánchez, 17"
835,"calle de Vallehermoso, 3"
836,calle de Alberto Bosch
837,"CL CASTELLO, 8"
838,"calle de Méndez Álvaro, 43"
839,"de Lope de Rueda, 44"
840,Barrio Valdebebas - Valdefuentes
841,calle de Estanislao Pérez Pita
842,"avenida de San Luis, 25"
843,calle del Molino de Viento
844,"calle José María Lozano Sainz, 41"
845,"calle del General Díaz Porlier, 33"
846,calle del Río
847,calle de Pastora Imperio
848,"calle del León, 17"
849,"calle de Isabel Clara Eugenia, 37"
850,"calle de Isabel Clara Eugenia, 35"
851,"calle de Almansa, 7"
852,plaza de la Condesa de Gavia
853,CL ANASTASIO AROCA
854,avenida de la Victoria
855,plaza Liceo
856,"calle Anna Frank, 19"
857,"calle Cantueso, 116"
858,"calle del Doctor Fleming, 47"
859,"calle de la Farmacia, 12"
860,Barrio Argüelles
861,"calle de las Viñas del Rio, 12"
862,calle de Carmen Cobeña
863,calle de Espoz y Mina
864,calle de Bellver
865,"calle de San Carlos, 6"
866,calle del Doctor Fleming
867,calle del Mediodía Grande
868,"calle de García Luna, 20"
869,"calle del Pintor Ignacio de Zuloaga, 6"
870,calle de Alcalá
871,calle de Nicaragua
872,calle de la Primavera
873,cuesta de Santo Domingo
874,calle del General Ricardos
875,"calle del Pintor Ignacio de Zuloaga, 4"
876,CL ALBERTO AGUILERA
877,"calle de López de Hoyos, 10"
878,calle de Rafael de Riego
879,calle de Caracas
880,Barrio El Plantío
881,calle del Moscatelar
882,"calle Arroyo del Cañaveral, 64"
883,paseo de la Florida
884,"calle Arroyo del Cañaveral, 66"
885,"calle del Pintor Ignacio de Zuloaga, 16"
886,calle de Valcotos
887,avenida de los Toreros
888,calle de Arriaza
889,calle Hermano Gárate
890,"calle de Colombia, 2"
891,calle de Galatea
892,avenida Ahones
893,calle del General Margallo
894,"calle del Pintor Ignacio de Zuloaga, 2"
895,"calle de Isabel Clara Eugenia, 39"
896,"calle de Isabel Clara Eugenia, 41"
897,"calle de las Viñas del Rio, 14"
898,calle de Santa Ana
899,"calle del Áncora, 20"
900,calle de la Bolsa
901,calle del Príncipe de Anglona
902,calle de el Algabeño
903,"calle del Doctor Castelo, 32"
904,calle de San Pedro Mártir
905,calle del Vizconde de Uzqueta
906,calle de Almendrales
907,calle de Campoamor
908,"calle del Pintor Antonio Saura, 15"
909,"calle de Isabel Clara Eugenia, 31"
910,paseo de la Reina Cristina
911,plaza de la Ciudad de Salta
912,"calle del Pintor Ignacio de Zuloaga, 8"
913,calle Manuel Fernández y González
914,calle Cantueso s/n
915,de Castelló
916,calle el Tato
917,"calle de Rafael Calvo, 31"
918,calle de la Pasa
919,"calle de Alcalá, 14"
920,Barrio Trafalgar
921,"calle de Isabel Clara Eugenia, 43"
922,CL JOSE ABASCAL
923,calle Torrelaguna
924,Barrio Canillas
925,calle de Enrique de Aldama
926,"calle de Narváez, 9"
927,"carretera de Colmenar a Alcobendas, Km 0,5 s/n"
928,calle de Manuel Fernández y González
929,calle de los Reyes
930,Cava de San Miguel
931,avenida de Miguel Delibes
932,"Corredera Baja de San Pablo, 21"
933,"plaza de la Sierra Carbonera, 2"
934,calle de Diego Ayllón
935,avenida del Papa Negro
936,Barrio Horcajo
937,calle del Capitán Blanco Argibay
938,calle CASPE
939,"Cava de San Miguel, 13"
940,calle JAIME EL CONQUISTADOR
941,"CL JUAN MARTIN EL EMPECINADO, 6"
942,calle de Barcelona
943,LAZO
944,"calle Embajadores, 201"
945,calle Alcatraz
946,calle Augusto Figueroa
947,Barrio El Cañaveral
948,plaza de Burdeos
949,avenida de Camilo José Cela
950,calle de Ana de Austria
951,calle del Doce de Octubre
952,"calle de San Bernardo, 76"
953,"calle Embalse de San Juan, 1"
954,calle Segre
955,calle san marcos
956,calle de López Silva
957,calle del Pintor Juan Gris
958,plaza del Ángel
959,calle del Espíritu Santo
960,"Benjamín, 33"
961,"calle de Vargas, 12"
962,"calle de Nicolasa Gómez, 93"
963,calle de Ángel Muñoz
964,calle Amalia
965,calle del Golfo de Salónica
966,calle Puerto de Santa María
967,"avenida de Menéndez Pelayo, 55"
968,"calle del Toboso, 108"
969,"calle de Mesena, 80"
970,"calle de Zurbano, 84"
971,CL AYALA
972,calle del General Oraá
973,calle Amaltea
974,calle Bruno García
975,"calle Mayor, 49"
976,calle de Moratines
977,calle de San Dacio
978,calle Aliaga
979,calle de la Aduana
980,"calle de Ulises, 94"
981,"calle de la Infanta Mercedes, 46"
982,"calle de Moratín, 46"
